player1,player2,win_probability_p1,actual_outcome
Melnik V.,Baranovskiy S.,0.4582,1
Rak S.,Kuzmych V.,0.6291,1
Barsa T.,Zezule O.,0.5,0
Stukalov V.,Yakubov M.,0.5849,1
Ziakun O.,Miroshnychenko S.,0.5,0
Drobov D.,Vilenchyts N.,0.5,1
Skripnik S.,Kolbasenko O.,0.4604,0
Plyska O.,Sprongl J.,0.5459,1
Papirnik O.,Marko J.,0.4112,0
Romanenko I.,Mul S.,0.4149,0
Slozka M.,Daragan S.,0.5435,1
Horbanenko O.,Cherevko R.,0.5001,0
Nakliutskyi A.,Nikolenko S.,0.417,0
Tsoi K.,Yurenev O.,0.4543,1
Zaporozhets R.,Maliuk S.,0.5459,1
Zydel J.,Luder J.,0.5,1
Sklyarenko A.,Mishchenko V.,0.5908,1
Zholubak R.,Honchar Y.,0.4541,1
Zimcik L.,Pavelka J.,0.5459,1
Dubrovin V.,Semipeadnii V.,0.5458,1
Turek T.,Mikus D.,0.4583,0
Masko Y.,Melnik V.,0.5458,0
Barsa T.,Zydel J.,0.5,1
Kunchurov D.,Ponomarenko O.,0.5437,0
Miroshnychenko S.,Hubenko M.,0.5459,1
Nadporozhskyi O.,Mrykh M.,0.4563,0
Tebenko Y.,Korobko V.,0.5,0
Vilenchyts N.,Yurchenko K.,0.4541,0
Plyska O.,Zimcik L.,0.5,0
Cechvala R.,Marko J.,0.4602,1
Shkepu S.,Lipkan D.,0.5478,1
Zemiantsev S.,Cherevko R.,0.5022,0
Huchok A.,Kolos Y.,0.5,1
Lushchyk A.,Ziakun O.,0.5459,1
Zezule O.,Luder J.,0.5911,1
Bochkovskyi V.,Drobov D.,0.4541,0
Samofal Y.,Peretiatko A.,0.5041,0
Sprongl J.,Pavelka J.,0.5,1
Pashkevich R.,Kovik I.,0.5,1
Zachar M.,Papirnik O.,0.4938,0
Baranovskiy S.,Horbanenko O.,0.544,0
Okopnyi V.,Budnikov A.,0.5,0
Zaporozhets R.,Miroshnychenko S.,0.5,0
