player1,player2,win_probability_p1,actual_outcome
Pesternikov D.,Danyliuk N.,0.602,0
Solomko R.,Rehotun D.,0.4928,1
Arzanov D.,Ziakun O.,0.565,1
Sklyarenko A.,Merzlikin V.,0.4952,0
Volkov P.,Sokolov S.,0.2866,0
Osadchiy O.,Burdelnyi S.,0.403,1
Antos P.,Horak D.,0.5895,0
Mischenko S.,Uzun N.,0.4709,0
Smyrnov M.,Chaikovskyi B.,0.5535,1
Hnoievoi R.,Kolesnik Y.,0.6131,1
Pavlyuk O.,Lyevshyn V.,0.4304,0
Kurylenko O.,Zaitsev O.,0.3652,0
Bambutsa R.,Pitsyk S.,0.3974,1
Mrykh M.,Kolbasenko O.,0.4451,0
Minenko A.,Klymenko K.,0.5923,1
Kasianyk N.,Shypilov A.,0.4521,0
Kovik I.,Crainiucov G.,0.4157,1
Danyliuk N.,Pesternikov D.,0.4522,0
Rehotun D.,Isakov V.,0.6271,1
Volkov P.,Balakiriev M.,0.3573,1
Horak D.,Marasek D.,0.4726,1
Semenets S.,Troian A.,0.5086,0
Hovorunets O.,Smyrnov M.,0.4967,0
Mischenko S.,Paniivan H.,0.6373,1
Hnoievoi R.,Solomko R.,0.5267,0
Antos P.,Sykora J.,0.4958,1
Polysynskyi M.,Sokolov S.,0.3715,0
Barsa T.,Hala P.,0.5272,1
Dobrzhinsky O.,Uzun N.,0.2664,0
Kuzmych V.,Shypilov A.,0.5112,0
Kolesnik Y.,Hnoievoi R.,0.3762,1
Brozek M.,Hondlik J.,0.5018,1
Chaikovskyi B.,Kasianyk N.,0.541,1
Kovik I.,Mischenko S.,0.3053,0
Rehotun D.,Solomko R.,0.4536,1
Pitsyk S.,Sokolov S.,0.3522,0
Crainiucov G.,Uzun N.,0.275,0
Balakiriev M.,Polysynskyi M.,0.5113,0
Barsa T.,Hondlik J.,0.5715,1
Brozek M.,Hala P.,0.5464,1
Paniivan H.,Dobrzhinsky O.,0.5353,1
Nikolenko S.,Sydorak N.,0.4679,1
Barsa T.,Brozek M.,0.5231,0
Vlasenko V.,Rak S.,0.4404,0
Hondlik J.,Hala P.,0.5,0
Torba R.,Sydorak N.,0.5513,0
Onykyienko V.,Kim D.,0.4578,0
Chelpanov S.,Kovalchuk O.,0.6285,1
Nikolenko S.,Vlasenko V.,0.519,0
Brozek M.,Barsa T.,0.525,0
Kuprykov S.,Hainiuk V.,0.4962,0
Tkachov S.,Kurischenko Y.,0.4633,0
Torba R.,Rak S.,0.4283,0
Hala P.,Hondlik J.,0.5459,0
Kovalchuk K.,Reva Y.,0.5041,1
Chepurnyi A.,Mishchenko O.,0.5376,1
Vlasenko V.,Sydorak N.,0.4964,1
Onykyienko V.,Hainiuk V.,0.331,0
Chelpanov S.,Kurischenko Y.,0.6109,1
Nikolenko S.,Rak S.,0.3774,0
Reva Y.,Kim D.,0.456,1
Mishchenko O.,Kovalchuk O.,0.3359,1
Torba R.,Vlasenko V.,0.4615,1
Kuprykov S.,Kovalchuk K.,0.5362,0
Tkachov S.,Chepurnyi A.,0.5631,1
Rak S.,Sydorak N.,0.6302,1
Onykyienko V.,Reva Y.,0.42,0
Chelpanov S.,Mishchenko O.,0.7847,1
Torba R.,Nikolenko S.,0.5554,0
Kovalchuk K.,Hainiuk V.,0.4243,0
Chepurnyi A.,Kurischenko Y.,0.3588,1
Kuprykov S.,Kim D.,0.5422,1
Rak S.,Vlasenko V.,0.6293,0
Tkachov S.,Kovalchuk O.,0.524,1
Onykyienko V.,Kovalchuk K.,0.373,0
Sydorak N.,Nikolenko S.,0.484,0
Chelpanov S.,Chepurnyi A.,0.7496,0
Kuprykov S.,Reva Y.,0.5379,0
Tkachov S.,Mishchenko O.,0.6594,0
Hainiuk V.,Kim D.,0.6659,0
Kurischenko Y.,Kovalchuk O.,0.5576,0
Onykyienko V.,Kuprykov S.,0.3546,1
Chelpanov S.,Tkachov S.,0.6672,0
Kovalchuk K.,Kim D.,0.5434,0
Skrypnyk O.,Zhurba A.,0.2855,0
Chepurnyi A.,Kovalchuk O.,0.4807,0
Chaikovskyi B.,Shypilov A.,0.4492,1
Reva Y.,Hainiuk V.,0.4299,0
Hlaholev M.,Urban M.,0.4563,0
Mishchenko O.,Kurischenko Y.,0.4022,0
Datsenko A.,Tur A.,0.3438,0
Hovorunets O.,Kasianyk N.,0.6281,0
Pyrtyk B.,Vorkun L.,0.4208,1
Honchar Y.,Bochkovskyi V.,0.5391,0
Skrypnyk O.,Tur A.,0.391,1
Ponomarenko O.,Karpenko O.,0.5614,0
Chulanov O.,Smyrnov M.,0.4413,1
Oanza M.,Todiras I.,0.4833,0
Nikolenko A.,Hovorunets S.,0.4187,0
Datsenko A.,Zhurba A.,0.2055,0
Zholubak R.,Yurchenko K.,0.3358,0
Stukalov V.,Solomko S.,0.5696,0
Chaikovskyi B.,Kasianyk N.,0.5792,0
Karas D.,Veis M.,0.5,1
Mokryak I.,Kalev L.,0.4938,0
Hlaholev M.,Vorkun L.,0.4619,0
Masko Y.,Cherevko R.,0.6242,1
Chornobab V.,Bochkovskyi V.,0.5805,0
Skrypnyk O.,Datsenko A.,0.6177,1
Smyk V.,Mukhin V.,0.5617,1
Pospisil A.,Krajc R.,0.5,1
Silva L.,Takac J.,0.5,0
Smyrnov M.,Shypilov A.,0.5452,0
Stanciu D.,Mutu V.,0.5487,0
Hovorunets S.,Urban M.,0.5796,0
Melnik V.,Baranovskiy S.,0.6688,0
Honchar Y.,Zholubak R.,0.4537,1
Tur A.,Zhurba A.,0.3253,0
Ponomarenko O.,Solomko S.,0.5038,0
Plyska O.,Hajek M.,0.5027,1
Cyprich S.,Sanchez J.,0.5,0
Hovorunets O.,Chulanov O.,0.4554,1
Oanza M.,Kalev L.,0.3236,0
Horbanenko O.,Zemiantsev S.,0.4621,0
Pyrtyk B.,Nikolenko A.,0.4661,1
Chornobab V.,Yurchenko K.,0.3249,0
Datsenko A.,Skrypnyk O.,0.3496,0
Mukhin V.,Karpenko O.,0.4197,0
Pospisil A.,Hajek M.,0.5458,1
Chaikovskyi B.,Smyrnov M.,0.4531,0
Karas D.,Takac J.,0.5,0
Mutu V.,Todiras I.,0.5423,1
Hlaholev M.,Hovorunets S.,0.3446,0
Masko Y.,Baranovskiy S.,0.6877,1
Zholubak R.,Bochkovskyi V.,0.484,1
Zhurba A.,Tur A.,0.7004,1
Stukalov V.,Smyk V.,0.5024,0
Plyska O.,Krajc R.,0.5485,0
Chulanov O.,Kasianyk N.,0.5658,0
Mokryak I.,Stanciu D.,0.5306,0
Sanchez J.,Veis M.,0.5459,0
Nikolenko A.,Vorkun L.,0.4616,1
Zemiantsev S.,Cherevko R.,0.6225,1
Honchar Y.,Yurchenko K.,0.2787,1
Zhurba A.,Datsenko A.,0.8427,1
Ponomarenko O.,Mukhin V.,0.5863,0
Pospisil A.,Plyska O.,0.5435,0
Hovorunets O.,Shypilov A.,0.4931,1
Oanza M.,Mutu V.,0.3639,0
Silva L.,Cyprich S.,0.5,1
Melnik V.,Horbanenko O.,0.5338,1
Pyrtyk B.,Urban M.,0.4243,0
Chornobab V.,Zholubak R.,0.505,0
Tur A.,Skrypnyk O.,0.4922,0
Smyk V.,Solomko S.,0.5151,0
Hajek M.,Krajc R.,0.4541,0
Chaikovskyi B.,Chulanov O.,0.4656,0
Karas D.,Sanchez J.,0.5021,1
Stanciu D.,Kalev L.,0.4277,1
Hlaholev M.,Nikolenko A.,0.4178,0
Masko Y.,Zemiantsev S.,0.5334,0
Yurchenko K.,Bochkovskyi V.,0.7036,1
Zhurba A.,Skrypnyk O.,0.7041,1
Stukalov V.,Karpenko O.,0.4813,0
Hajek M.,Pospisil A.,0.4171,0
Cyprich S.,Takac J.,0.4089,1
Hovorunets O.,Smyrnov M.,0.5005,1
Mokryak I.,Todiras I.,0.5676,1
Horbanenko O.,Baranovskiy S.,0.5727,0
Pyrtyk B.,Hovorunets S.,0.3648,0
Chornobab V.,Honchar Y.,0.4684,1
Tur A.,Datsenko A.,0.6585,1
Ponomarenko O.,Smyk V.,0.4394,0
Krajc R.,Plyska O.,0.4978,0
Kasianyk N.,Shypilov A.,0.4709,1
Oanza M.,Stanciu D.,0.3235,0
Silva L.,Veis M.,0.4979,1
Melnik V.,Cherevko R.,0.6151,1
Vorkun L.,Urban M.,0.4038,0
Bochkovskyi V.,Zholubak R.,0.432,1
Tupyk M.,Chuhai S.,0.538,1
Stukalov V.,Mukhin V.,0.5516,1
Votipka E.,Svoboda V.,0.4979,1
Chaikovskyi B.,Hovorunets O.,0.3694,1
Karas D.,Cyprich S.,0.5417,0
Mokryak I.,Mutu V.,0.4866,1
Hlaholev M.,Pyrtyk B.,0.444,1
Masko Y.,Horbanenko O.,0.6499,1
Prilepa D.,Ziakun O.,0.5554,0
Yurchenko K.,Honchar Y.,0.6979,1
Solomko S.,Karpenko O.,0.5116,0
Zhyrnov O.,Valenda D.,0.587,0
Hanke T.,Hruska J.,0.5,1
Chulanov O.,Shypilov A.,0.5307,0
Kalev L.,Todiras I.,0.648,1
Silva L.,Sanchez J.,0.548,1
Melnik V.,Zemiantsev S.,0.4507,0
Nikolenko A.,Urban M.,0.4152,1
Aristarkhov S.,Syksa A.,0.649,0
Ponomarenko O.,Stukalov V.,0.4408,0
Efimenko I.,Ivanov V.,0.524,1
Votipka E.,Hruska J.,0.546,0
Oanza M.,Mokryak I.,0.3115,0
Smyrnov M.,Kasianyk N.,0.521,1
Takac J.,Veis M.,0.5398,0
Baranovskiy S.,Cherevko R.,0.5113,1
Tupyk M.,Ziakun O.,0.547,0
Smyk V.,Karpenko O.,0.4759,1
Gudimenko E.,Valchuk I.,0.5654,0
Hanke T.,Svoboda V.,0.5439,1
Fylypiv R.,Chulanov V.,0.5667,0
Karas D.,Silva L.,0.4542,1
Stanciu D.,Todiras I.,0.658,1
Masko Y.,Melnik V.,0.5702,0
Torba R.,Vlasenko V.,0.4566,1
Syksa A.,Chuhai S.,0.5791,1
Mukhin V.,Solomko S.,0.3789,0
Zhyrnov O.,Ivanov V.,0.5186,1
Votipka E.,Hanke T.,0.4541,1
Cyprich S.,Veis M.,0.5023,0
Daragan S.,Motrunych I.,0.3947,0
Mutu V.,Kalev L.,0.4293,0
Horbanenko O.,Cherevko R.,0.538,1
Sydorak N.,Rak S.,0.3447,0
Prilepa D.,Aristarkhov S.,0.3675,1
Stepanchuk Y.,Portnov H.,0.5,1
Valchuk I.,Valenda D.,0.5629,0
Hruska J.,Svoboda V.,0.544,0
Nyzhnyk R.,Slozka M.,0.5212,0
Plamadeala D.,Pisceanschi V.,0.6253,1
Sanchez J.,Takac J.,0.4602,0
Nikolenko S.,Vlasenko V.,0.4993,0
Zemiantsev S.,Baranovskiy S.,0.6805,0
Tupyk M.,Syksa A.,0.4564,0
Korobov A.,Tymchenko V.,0.5,0
Efimenko I.,Gudimenko E.,0.5061,1
Hanke T.,Votipka E.,0.4958,1
Fylypiv R.,Motrunych I.,0.5228,0
Gammer V.,Cioclea I.,0.4396,0
Chelpanov S.,Mishchenko O.,0.7435,1
Torba R.,Sydorak N.,0.5829,1
Aristarkhov S.,Ziakun O.,0.585,0
Sydorenko V.,Reva V.,0.5,1
Zhyrnov O.,Valchuk I.,0.5187,1
Svoboda V.,Hruska J.,0.506,1
Slozka M.,Chulanov V.,0.4767,0
Uzun I.,Titov A.,0.5172,0
Lykhytskyi O.,Kurischenko Y.,0.5024,0
Nikolenko S.,Rak S.,0.3645,1
Prilepa D.,Chuhai S.,0.5856,0
Stepanchuk Y.,Tymchenko V.,0.5,0
Gudimenko E.,Ivanov V.,0.5608,1
Blazek J.,Kubat M.,0.48,1
Daragan S.,Nyzhnyk R.,0.4003,1
Plamadeala D.,Cioclea I.,0.6023,1
Kovalchuk O.,Levyn S.,0.4674,0
Sydorak N.,Vlasenko V.,0.3829,1
Tupyk M.,Aristarkhov S.,0.4176,1
Reva V.,Portnov H.,0.5,0
Efimenko I.,Valenda D.,0.5792,1
Vitek M.,Bruk M.,0.5925,0
Fylypiv R.,Slozka M.,0.536,1
Titov A.,Pisceanschi V.,0.562,1
Chelpanov S.,Kurischenko Y.,0.6165,1
Torba R.,Rak S.,0.44,0
Prilepa D.,Syksa A.,0.4207,1
Korobov A.,Sydorenko V.,0.4541,1
Zhyrnov O.,Gudimenko E.,0.5038,0
Blazek J.,Bruk M.,0.4967,0
Gammer V.,Uzun I.,0.4263,0
Nyzhnyk R.,Motrunych I.,0.4072,0
Levyn S.,Mishchenko O.,0.6892,1
Nikolenko S.,Sydorak N.,0.573,1
Ziakun O.,Chuhai S.,0.5774,0
Stepanchuk Y.,Reva V.,0.5459,1
Efimenko I.,Valchuk I.,0.6083,1
Vitek M.,Kubat M.,0.5698,0
Daragan S.,Chulanov V.,0.3585,1
Plamadeala D.,Titov A.,0.597,0
Lykhytskyi O.,Kovalchuk O.,0.5037,1
Rak S.,Vlasenko V.,0.6099,1
Tupyk M.,Prilepa D.,0.4944,1
Sydorenko V.,Tymchenko V.,0.452,0
Ivanov V.,Valenda D.,0.4664,1
Blazek J.,Vitek M.,0.4611,0
Fylypiv R.,Nyzhnyk R.,0.607,1
Uzun I.,Cioclea I.,0.5111,0
Chelpanov S.,Levyn S.,0.5929,1
Nikolenko S.,Torba R.,0.5198,0
Aristarkhov S.,Chuhai S.,0.5564,0
Korobov A.,Portnov H.,0.5021,0
Zhyrnov O.,Efimenko I.,0.4127,1
Bruk M.,Kubat M.,0.5278,1
Daragan S.,Slozka M.,0.4726,1
Gammer V.,Pisceanschi V.,0.4582,0
Kovalchuk O.,Kurischenko Y.,0.4474,1
Syksa A.,Ziakun O.,0.5344,1
Stepanchuk Y.,Sydorenko V.,0.5437,0
Gudimenko E.,Valenda D.,0.6136,0
Kubat M.,Blazek J.,0.5207,0
Sydorak N.,Nikolenko S.,0.412,0
Motrunych I.,Chulanov V.,0.5424,1
Plamadeala D.,Uzun I.,0.6228,0
Lykhytskyi O.,Mishchenko O.,0.6586,0
Korobov A.,Reva V.,0.5458,1
Rak S.,Torba R.,0.5937,1
Valchuk I.,Ivanov V.,0.4996,0
Bruk M.,Vitek M.,0.5106,1
Fylypiv R.,Daragan S.,0.5987,0
Gammer V.,Titov A.,0.3159,0
Chelpanov S.,Kovalchuk O.,0.69,1
Tymchenko V.,Portnov H.,0.5436,0
Malecek O.,Provaznik P.,0.505,1
Cioclea I.,Pisceanschi V.,0.5627,0
Nyzhnyk R.,Chulanov V.,0.4149,1
Lykhytskyi O.,Levyn S.,0.4255,1
Stepanchuk Y.,Korobov A.,0.496,1
Brichacek D.,Pfleger M.,0.4918,1
Plamadeala D.,Gammer V.,0.7087,0
Slozka M.,Motrunych I.,0.3572,0
Kurischenko Y.,Mishchenko O.,0.6101,1
Sydorenko V.,Portnov H.,0.4541,1
Malecek O.,Pfleger M.,0.6276,1
Uzun I.,Pisceanschi V.,0.5298,1
Chelpanov S.,Lykhytskyi O.,0.6851,1
Reva V.,Tymchenko V.,0.3731,0
Brichacek D.,Provaznik P.,0.4588,0
Titov A.,Cioclea I.,0.5857,0
Kovalchuk O.,Mishchenko O.,0.6118,0
Malecek O.,Brichacek D.,0.6273,1
Levyn S.,Kurischenko Y.,0.5223,0
Pfleger M.,Provaznik P.,0.384,1
Kuprykov S.,Reva Y.,0.4786,1
Kyilo V.,Kulishov H.,0.5738,0
Pfleger M.,Brichacek D.,0.5109,0
Hainiuk V.,Kovalchuk K.,0.6105,0
Marchuk M.,Diachenko M.,0.281,1
Provaznik P.,Malecek O.,0.4089,0
Onykyienko V.,Kim D.,0.386,0
Hryshchenko O.,Chernyshov D.,0.4782,1
Kuprykov S.,Kovalchuk K.,0.4767,0
Kyilo V.,Diachenko M.,0.4092,0
Kim D.,Reva Y.,0.546,0
Chernyshov D.,Kulishov H.,0.5907,1
Hainiuk V.,Onykyienko V.,0.6998,0
Marchuk M.,Hryshchenko O.,0.3333,0
Kuprykov S.,Kim D.,0.4837,1
Kyilo V.,Chernyshov D.,0.3937,0
Onykyienko V.,Kovalchuk K.,0.3588,1
Hryshchenko O.,Diachenko M.,0.5012,0
Hainiuk V.,Reva Y.,0.5485,0
Marchuk M.,Kulishov H.,0.4484,1
Kuprykov S.,Onykyienko V.,0.5717,0
Kyilo V.,Hryshchenko O.,0.3769,1
Hainiuk V.,Kim D.,0.5512,1
Marchuk M.,Chernyshov D.,0.3327,1
Kovalchuk K.,Reva Y.,0.4919,1
Diachenko M.,Kulishov H.,0.6896,1
Kuprykov S.,Hainiuk V.,0.4333,0
Kyilo V.,Marchuk M.,0.5278,0
Onykyienko V.,Reva Y.,0.4557,0
Hryshchenko O.,Kulishov H.,0.6365,0
Sedin V.,Tveritinov R.,0.45,1
Kim D.,Kovalchuk K.,0.4117,0
Chernyshov D.,Diachenko M.,0.4289,1
Hordiichuk O.,Sydorak N.,0.6092,1
Nyzhnyk R.,Chulanov V.,0.468,0
Fedoryshyn I.,Zaitsev O.,0.4694,1
Fylypiv R.,Motrunych I.,0.4307,1
Rak S.,Torba R.,0.6292,1
Baday M.,Tveritinov R.,0.6639,1
Valchuk I.,Ivanov V.,0.4537,0
Daragan S.,Slozka M.,0.5649,0
Romanenko I.,Lipkan D.,0.4785,1
Nikolenko S.,Sydorak N.,0.6409,1
Sedin V.,Fedoryshyn I.,0.4264,0
Efimenko I.,Gudimenko E.,0.5467,0
Dubrovin V.,Shkepu S.,0.6036,1
Nyzhnyk R.,Motrunych I.,0.3494,0
Papirnik O.,Marko J.,0.414,1
Cherevko R.,Masko Y.,0.2931,1
Hordiichuk O.,Rak S.,0.3658,0
Baday M.,Zaitsev O.,0.6264,1
Zhyrnov O.,Valenda D.,0.5713,1
Brozek M.,Luder J.,0.6087,0
Semipeadnii V.,Mul S.,0.2972,0
Slozka M.,Chulanov V.,0.4529,1
Zlamala M.,Pupik M.,0.5614,0
Melnik V.,Baranovskiy S.,0.5919,1
Nikolenko S.,Torba R.,0.5431,1
Fedoryshyn I.,Tveritinov R.,0.608,1
Valchuk I.,Gudimenko E.,0.3623,0
Remunda S.,Stacho L.,0.5117,0
Cechvala R.,Veternik P.,0.4917,1
Fylypiv R.,Daragan S.,0.5959,1
Romanenko I.,Shkepu S.,0.4054,0
Horbanenko O.,Zemiantsev S.,0.3501,0
Rak S.,Sydorak N.,0.781,1
Sedin V.,Zaitsev O.,0.4419,1
Valenda D.,Ivanov V.,0.4493,0
Brozek M.,Stacho L.,0.5056,0
Mul S.,Lipkan D.,0.7906,1
Nyzhnyk R.,Slozka M.,0.4313,1
Papirnik O.,Pupik M.,0.5368,0
Cherevko R.,Baranovskiy S.,0.4427,0
Hordiichuk O.,Torba R.,0.533,0
Baday M.,Fedoryshyn I.,0.5896,1
Efimenko I.,Zhyrnov O.,0.4892,0
Remunda S.,Luder J.,0.5133,1
Daragan S.,Motrunych I.,0.3552,0
Dubrovin V.,Semipeadnii V.,0.6675,1
Veternik P.,Marko J.,0.4429,1
Zemiantsev S.,Masko Y.,0.5636,1
Nikolenko S.,Rak S.,0.3737,0
Zaitsev O.,Tveritinov R.,0.5469,0
Valchuk I.,Valenda D.,0.4668,0
Brozek M.,Remunda S.,0.4954,0
Fylypiv R.,Chulanov V.,0.6052,1
Romanenko I.,Mul S.,0.2082,0
Zlamala M.,Cechvala R.,0.4591,0
Melnik V.,Horbanenko O.,0.6513,0
Torba R.,Sydorak N.,0.6441,1
Baday M.,Sedin V.,0.7028,1
Zhyrnov O.,Gudimenko E.,0.5131,0
Stacho L.,Luder J.,0.5933,1
Nyzhnyk R.,Daragan S.,0.504,0
Papirnik O.,Veternik P.,0.4741,0
Semipeadnii V.,Shkepu S.,0.4338,0
Cherevko R.,Zemiantsev S.,0.2617,0
Nikolenko S.,Hordiichuk O.,0.5593,1
Efimenko I.,Ivanov V.,0.5064,1
Tveritinov R.,Sedin V.,0.4988,1
Cechvala R.,Pupik M.,0.5473,0
Dubrovin V.,Lipkan D.,0.7605,0
Fylypiv R.,Slozka M.,0.6438,1
Horbanenko O.,Baranovskiy S.,0.484,1
Luder J.,Brozek M.,0.4508,0
Torba R.,Hordiichuk O.,0.5525,0
Fedoryshyn I.,Baday M.,0.3617,0
Valchuk I.,Zhyrnov O.,0.3224,0
Motrunych I.,Chulanov V.,0.6512,0
Romanenko I.,Semipeadnii V.,0.4442,1
Zlamala M.,Marko J.,0.4449,1
Melnik V.,Masko Y.,0.5233,1
Stacho L.,Remunda S.,0.5322,1
Kurylenko O.,Miroshnychenko S.,0.3917,0
Rak S.,Nikolenko S.,0.6394,1
Efimenko I.,Valenda D.,0.5986,0
Kolivay O.,Kolesnykov V.,0.4558,1
Dubrovin V.,Mul S.,0.3943,0
Hajek M.,Sprongl J.,0.4169,1
Nyzhnyk R.,Fylypiv R.,0.3063,0
Papirnik O.,Cechvala R.,0.4436,0
Cherevko R.,Horbanenko O.,0.384,1
Arzanov D.,Prilepa D.,0.5694,1
Gudimenko E.,Ivanov V.,0.5944,0
Volynets O.,Bondarenko I.,0.3787,1
Sokolovskyi S.,Yurchenko K.,0.3403,1
Puk J.,Pavelka J.,0.5503,0
Daragan S.,Chulanov V.,0.4676,1
Shkepu S.,Lipkan D.,0.6323,0
Zlamala M.,Veternik P.,0.4546,0
Melnik V.,Zemiantsev S.,0.4296,1
Lushchyk A.,Aristarkhov S.,0.5797,0
Udovenko I.,Martyniuk A.,0.481,0
Valchuk I.,Efimenko I.,0.3421,1
Drobov D.,Chornobab V.,0.6058,1
Hajek M.,Pavelka J.,0.5055,0
Pupik M.,Marko J.,0.5313,1
Romanenko I.,Dubrovin V.,0.3082,1
Slozka M.,Motrunych I.,0.3567,0
Baranovskiy S.,Masko Y.,0.4416,0
Kurylenko O.,Prilepa D.,0.4497,0
Kolivay O.,Bondarenko I.,0.5344,1
Zhyrnov O.,Ivanov V.,0.5487,0
Honchar Y.,Zholubak R.,0.4779,1
Puk J.,Sprongl J.,0.4641,1
Papirnik O.,Zlamala M.,0.4764,0
Semipeadnii V.,Lipkan D.,0.4743,1
Cherevko R.,Melnik V.,0.3012,0
Tebenko Y.,Korobko V.,0.5071,0
Aristarkhov S.,Miroshnychenko S.,0.4725,0
Martyniuk A.,Kolesnykov V.,0.541,1
Valenda D.,Gudimenko E.,0.4123,0
Sokolovskyi S.,Chornobab V.,0.5881,1
Hajek M.,Puk J.,0.4579,0
Cechvala R.,Marko J.,0.5699,1
Mul S.,Shkepu S.,0.7214,1
Horbanenko O.,Masko Y.,0.4247,0
Huchok A.,Kolos Y.,0.3021,0
Arzanov D.,Lushchyk A.,0.5143,0
Volynets O.,Udovenko I.,0.4275,1
Zholubak R.,Yurchenko K.,0.3026,0
Pavelka J.,Sprongl J.,0.5123,0
Reschikov E.,Crainiucov G.,0.577,1
Veternik P.,Pupik M.,0.5094,0
Okopnyi V.,Budnikov A.,0.385,1
Zemiantsev S.,Baranovskiy S.,0.6821,1
Kurylenko O.,Aristarkhov S.,0.3846,0
Kolivay O.,Martyniuk A.,0.4651,0
Drobov D.,Honchar Y.,0.6298,1
Pashkevich R.,Mischenko S.,0.4085,1
Marchuk M.,Diachenko M.,0.3696,0
Sprongl J.,Hajek M.,0.573,0
Tebenko Y.,Kolos Y.,0.4063,0
Lushchyk A.,Prilepa D.,0.5969,0
Udovenko I.,Bondarenko I.,0.5015,1
Sokolovskyi S.,Zholubak R.,0.6336,1
Reschikov E.,Mischenko S.,0.424,1
Budnikov A.,Korobko V.,0.474,0
Kyilo V.,Chernyshov D.,0.3678,0
Pavelka J.,Puk J.,0.4543,0
Arzanov D.,Miroshnychenko S.,0.4684,1
Volynets O.,Kolesnykov V.,0.4524,0
Honchar Y.,Chornobab V.,0.5128,1
Marasek D.,Bruk M.,0.3948,1
Pashkevich R.,Crainiucov G.,0.6504,0
Hryshchenko O.,Kulishov H.,0.5808,0
Huchok A.,Okopnyi V.,0.4056,0
Kurylenko O.,Lushchyk A.,0.3272,1
Kolivay O.,Udovenko I.,0.5314,0
Drobov D.,Yurchenko K.,0.4533,0
Lukes T.,Hala P.,0.5002,1
Reschikov E.,Pashkevich R.,0.5179,1
Marchuk M.,Chernyshov D.,0.3557,0
Tebenko Y.,Budnikov A.,0.4895,0
Arzanov D.,Aristarkhov S.,0.5461,1
Volynets O.,Martyniuk A.,0.3333,0
Sokolovskyi S.,Honchar Y.,0.6069,0
Marasek D.,Hala P.,0.5826,1
Mischenko S.,Crainiucov G.,0.6334,1
Kulishov H.,Diachenko M.,0.3427,0
Okopnyi V.,Kolos Y.,0.362,1
Prilepa D.,Miroshnychenko S.,0.4553,1
Bondarenko I.,Kolesnykov V.,0.4277,1
Drobov D.,Zholubak R.,0.6776,1
Lukes T.,Bruk M.,0.4128,0
Crainiucov G.,Pashkevich R.,0.411,0
Kyilo V.,Hryshchenko O.,0.4467,0
Huchok A.,Korobko V.,0.2911,0
Kurylenko O.,Arzanov D.,0.3194,0
Kolivay O.,Volynets O.,0.5856,0
Chornobab V.,Yurchenko K.,0.2536,0
Marasek D.,Lukes T.,0.5747,1
Mischenko S.,Reschikov E.,0.5182,0
Marchuk M.,Kulishov H.,0.4946,1
Lushchyk A.,Miroshnychenko S.,0.4925,0
Tebenko Y.,Okopnyi V.,0.4576,1
Udovenko I.,Kolesnykov V.,0.5255,1
Sokolovskyi S.,Drobov D.,0.4424,1
Hala P.,Bruk M.,0.334,0
Hryshchenko O.,Chernyshov D.,0.3903,0
Huchok A.,Budnikov A.,0.3197,1
Aristarkhov S.,Prilepa D.,0.47,0
Dobrzhinsky O.,Nizioc I.,0.3805,1
Martyniuk A.,Bondarenko I.,0.6417,0
Honchar Y.,Yurchenko K.,0.3135,0
Kolos Y.,Korobko V.,0.5093,0
Kyilo V.,Diachenko M.,0.2894,0
Hala P.,Lukes T.,0.4578,1
Panteleev S.,Ungurean M.,0.524,0
Zholubak R.,Chornobab V.,0.4924,0
Marchuk M.,Hryshchenko O.,0.4716,0
Tebenko Y.,Huchok A.,0.6242,0
Bruk M.,Marasek D.,0.5465,0
Dobrzhinsky O.,Ungurean M.,0.4076,0
Brichacek D.,Stoces L.,0.3797,1
Kyilo V.,Kulishov H.,0.4797,1
Okopnyi V.,Korobko V.,0.3803,0
Panteleev S.,Nizioc I.,0.5044,0
Budnikov A.,Kolos Y.,0.4229,0
Chernyshov D.,Diachenko M.,0.4862,1
Provaznik P.,Zielinsky T.,0.4513,1
Dobrzhinsky O.,Panteleev S.,0.4357,1
Brichacek D.,Zielinsky T.,0.475,1
Marchuk M.,Kyilo V.,0.5158,0
Ungurean M.,Nizioc I.,0.5242,1
Provaznik P.,Stoces L.,0.4612,0
Hryshchenko O.,Diachenko M.,0.3861,1
Danyliuk N.,Kravets Y.,0.6151,1
Nizioc I.,Panteleev S.,0.546,1
Brichacek D.,Provaznik P.,0.5187,0
Kulishov H.,Chernyshov D.,0.2575,1
Kistechko M.,Pavlyuk O.,0.3968,0
Ungurean M.,Dobrzhinsky O.,0.6242,1
Zielinsky T.,Stoces L.,0.4149,0
Verbianyi V.,Lyevshyn V.,0.3182,0
Bielokon Y.,Melashenko O.,0.4471,0
Danyliuk N.,Pavlyuk O.,0.5047,1
Zielinsky T.,Brichacek D.,0.4814,0
Scherbak A.,Homylko A.,0.4376,0
Stoces L.,Provaznik P.,0.576,0
Lyevshyn V.,Kravets Y.,0.7341,1
Husiev V.,Skoryk O.,0.4297,0
Kistechko M.,Verbianyi V.,0.4725,1
Bielokon Y.,Homylko A.,0.451,0
Solomko R.,Gomilko O.,0.5455,0
Danyliuk N.,Lyevshyn V.,0.4102,1
Skoryk O.,Melashenko O.,0.515,1
Isakov V.,Lazuryk D.,0.2988,1
Verbianyi V.,Pavlyuk O.,0.3868,1
Scherbak A.,Husiev V.,0.4474,0
